Page,Type,Content,X,Y,Width,Height,Style
"13","Text"," ",255,38.6,33.0000000000001,2.90000000000001,"行事"
"13","Text"," ",149.999999999958,38.6,33,2.90000000000001,"行事"
"13","Text","金武町移民の日 ",219.999999999938,38.6,33,2.90000000000001,"行事一覧"
"12","Text"," ",111,38.6,33,2.90000000000001,"行事"
"13","Text"," ",184.999999999958,38.5,33,2.9,"行事"
"12","Text"," ",75.9999999999792,38.6,33,2.90000000000001,"行事"
"13","Text","",255,166.600000000032,33.0000000000001,2.90000000000001,""
"13","Text"," ",255,134.6,33.0000000000001,2.90000000000001,"行事"
"13","Text"," ",255,102.599999999968,33.0000000000001,2.90000000000001,"行事"
"13","Text"," ",255,70.6,33.0000000000001,2.90000000000001,"行事"
"13","Text","大晦日 ",149.999999999958,166.600000000032,33,2.90000000000001,"行事一覧"
"13","Text"," ",149.999999999958,134.6,33,2.90000000000001,"行事"
"13","Text"," ",149.999999999958,102.599999999968,33,2.90000000000001,"行事"
"13","Text"," ",149.999999999958,70.6,33,2.90000000000001,"行事"
"13","Text","",219.999999999938,166.600000000032,33,2.90000000000001,""
"13","Text"," ",219.999999999938,134.6,33,2.90000000000001,"行事"
"13","Text"," ",219.999999999938,102.599999999968,33,2.90000000000001,"行事"
"13","Text","島にんじんの日 ",219.999999999938,70.6,33,2.90000000000001,"行事一覧"
"12","Text"," ",111,166.600000000032,33,2.89999999999998,"行事"
"12","Text","海ぶどうの日 ",111,134.6,33,2.90000000000001,"行事一覧"
"12","Text"," ",111,102.599999999968,33,2.90000000000001,"行事"
"12","Text"," ",111,70.6,33,2.90000000000001,"行事"
"13","Text"," ",184.999999999958,166.600000000032,33,2.90000000000001,"行事"
"13","Text","クリスマス ",184.999999999958,134.6,33,2.90000000000001,"行事一覧"
"13","Text"," ",184.999999999958,102.599999999968,33,2.90000000000001,"行事"
"13","Text"," ",184.999999999958,70.6,33,2.90000000000001,"行事"
"12","Text","",75.9999999999792,198.599999999936,33,2.90000000000003,""
"12","Text"," ",75.9999999999792,166.600000000032,33,2.90000000000001,"行事"
"12","Text","冬至 ",75.9999999999792,134.6,33,2.89999999999998,"行事一覧"
"12","Text","年賀郵便特別扱い始め ",75.9999999999792,102.599999999968,33,2.90000000000001,"行事一覧"
"12","Text"," ",75.9999999999792,70.6,33,2.90000000000001,"行事"
"12","Text","",40.9899999999583,198.599999999936,33,2.90000000000001,""
"12","Text","官公庁御用納め ",40.9899999999583,166.600000000032,33,2.90000000000003,"行事一覧"
"12","Text"," ",40.9899999999583,134.6,33,2.90000000000001,"行事"
"12","Text"," ",40.9999999999583,102.599999999968,33,2.90000000000001,"行事"
"12","Text","大雪 ",40.9999999999583,70.6,33,2.90000000000001,"行事一覧"
"12","Text"," ",40.9999999999583,38.6,33,2.90000000000001,"行事"
"12","Text","",43.5,173.499999999968,7.5,6,""
"12","Text","28 ",43.5,141.5,7.5,6,"日付"
"12","Text","21 ",43.5,109.5,7.5,6,"日付"
"12","Text","14 ",43.5,77.5,7.5,6,"日付"
"12","Text","7 ",43.5,45.5,7.5,6,"日付"
"13","Text","",257.499999999917,141.5,7.5,6,""
"13","Text","27 ",257.499999999917,109.5,7.5,6,"日付"
"13","Text","20 ",257.499999999917,77.5,7.5,6,"日付"
"13","Text","13 ",257.499999999917,45.5,7.5,6,"日付"
"13","Text","6 ",257.5,13.5,7.49999999999994,6,"日付"
"13","Text","",222.499999999917,141.5,7.49999999999997,6,""
"13","Text","26 ",222.499999999917,109.5,7.49999999999997,6,"日付"
"13","Text","19 ",222.5,77.5,7.5,6,"日付"
